지점,일시,합계 강수량(mm),산성도(pH),전기전도도(μS/cm),불산이온(F-)(μeq/L),염소이온(Cl-)(μeq/L),질산이온(NO3-)(μeq/L),황산이온(SO4-)(μeq/L),나트륨이온(Na+)(μeq/L),암모니아이온(NH4+)(μeq/L),칼륨이온(K+)(μeq/L),마그네슘이온(Mg2+)(μeq/L),칼슘이온(Ca2+)(μeq/L)
132,2021-01-01,2,5.75,47.2,1.4,218.6,66.5,55.3,194.5,67.6,6.1,48.6,41.9
132,2021-01-02,,,,,,,,,,,,
132,2021-01-03,,,,,,,,,,,,
132,2021-01-04,,,,,,,,,,,,
132,2021-01-05,,,,,,,,,,,,
132,2021-01-06,1.5,5.22,235.5,1.7,1640.7,47.4,212.4,1453.5,17.9,36,337.4,118.7
132,2021-01-07,2,5.46,14,1.2,55.3,19.2,18.4,47.8,25,1.6,12.8,9
132,2021-01-08,,,,,,,,,,,,
132,2021-01-09,,,,,,,,,,,,
132,2021-01-10,,,,,,,,,,,,
132,2021-01-11,,,,,,,,,,,,
132,2021-01-12,,,,,,,,,,,,
132,2021-01-13,,,,,,,,,,,,
132,2021-01-14,,,,,,,,,,,,
132,2021-01-15,,,,,,,,,,,,
132,2021-01-16,,,,,,,,,,,,
132,2021-01-17,,,,,,,,,,,,
132,2021-01-18,,,,,,,,,,,,
132,2021-01-19,,,,,,,,,,,,
132,2021-01-20,,,,,,,,,,,,
132,2021-01-21,10.5,5.36,26.9,1.4,85.1,46.1,53.9,78.3,49.9,3,24.6,37
132,2021-01-22,,,,,,,,,,,,
132,2021-01-23,,,,,,,,,,,,
132,2021-01-24,,,,,,,,,,,,
132,2021-01-25,1.5,5.93,69.1,2.4,273,113.2,119.4,286.9,133.3,8,59.5,59
132,2021-01-26,2.5,5.03,18.6,.6,24.9,43.4,38.8,19.5,47.5,1.2,12.6,22.8
132,2021-01-27,,,,,,,,,,,,
132,2021-01-28,1.5,6.37,213.2,4.8,1109.5,197.5,350.8,1035.1,268.9,24.7,222.8,190.9
132,2021-01-29,,,,,,,,,,,,
132,2021-01-30,,,,,,,,,,,,
132,2021-01-31,,,,,,,,,,,,
