지점,일시,합계 강수량(mm),산성도(pH),전기전도도(μS/cm),불산이온(F-)(μeq/L),염소이온(Cl-)(μeq/L),질산이온(NO3-)(μeq/L),황산이온(SO4-)(μeq/L),나트륨이온(Na+)(μeq/L),암모니아이온(NH4+)(μeq/L),칼륨이온(K+)(μeq/L),마그네슘이온(Mg2+)(μeq/L),칼슘이온(Ca2+)(μeq/L)
132,2022-01-10,1.5,4.49,105.5,3.74,368.04,195.1,175.38,302.66,195.64,13.35,92.74,74.6
132,2022-01-19,3,4.9,145.9,4.05,756.05,182.47,186.69,643.37,180.17,19.59,155.69,90.52
132,2022-01-31,3.5,4.51,120.1,2.68,602.15,97.7,154.46,515.84,138.04,14.91,118.82,44.81
132,2022-03-12,8.5,5.2,28,2.05,48.68,69.17,79.14,40.89,86.87,4.35,18.02,39.32
132,2022-03-14,2,7.08,60.8,3.58,68.18,147.33,135.26,57.63,248.69,6.8,24.93,104.75
132,2022-03-16,1,7.05,37.5,3.26,50.83,64.66,92.88,54.2,125.62,5.55,28.47,81.39
132,2022-03-17,2.5,7.12,27.4,1.95,20.65,40.01,66.35,19.36,111.26,2.81,14.56,67.77
132,2022-03-18,6,6.65,14.9,.74,15.32,37.16,23.15,11,63.81,1.07,6.67,26.2
132,2022-03-25,26.5,5.71,7.4,.63,18.08,10.42,14.03,13.75,19.68,.69,4.85,9.18
132,2022-03-30,1.5,5.67,10.4,.63,20.62,20.71,24.86,16.22,33.98,1.41,6.91,11.83
132,2022-04-06,1.5,7.14,47,5.37,47.64,105.49,97.31,37.23,232.5,6.55,19.91,64.08
132,2022-04-12,3.5,6.5,60.4,6.42,37.37,169.37,174.49,23.71,231.23,7.37,28.39,129.5
132,2022-04-13,16.5,5.41,13.5,.84,10.18,29.27,37.23,5.57,54.27,1.3,3.87,16.72
132,2022-04-25,5.5,6.75,13.3,1.05,8.74,31.74,24.82,5.83,86.15,1.89,3.04,7.39
132,2022-04-28,11,6.62,16.5,.89,9.7,50.9,33.79,8.26,78.72,2.56,6.25,32.29
132,2022-05-25,3,6.18,22.7,1.47,28.91,64.87,56.55,21.1,98.96,3.96,11.36,34.43
132,2022-06-05,3,6.43,20.3,2.16,21.35,52.5,46.74,11.57,119.58,2.92,4.28,11.53
132,2022-06-14,18,5.8,4.4,.42,6.85,11.31,6.66,3.13,17.52,.36,1.56,3.79
132,2022-06-23,20,5.51,16.1,.63,58.08,29.66,22.49,46.98,44.24,1.56,9.87,8.88
132,2022-06-28,3.5,5.2,25.1,1.11,118.64,25.34,32.42,97.22,48.84,2.51,16.87,11.48
132,2022-06-29,58,5.15,7.2,.26,22.23,7.76,8.97,17.09,5.49,.43,4.36,2.4
132,2022-07-10,3.5,6.82,36.2,1.47,63.21,95.64,67,53.15,201.29,4.83,11.44,10.78
132,2022-07-12,2.5,6.95,20.3,1.89,24.79,52.83,27.19,14.44,123.01,3.43,2.96,4.69
132,2022-07-13,17.5,6.35,26.8,1.26,67.22,62.19,45.49,55.76,125.56,2.23,12.51,11.48
132,2022-07-17,8,6.1,7.6,.63,14.5,16.21,10.64,10.22,37.42,.61,1.97,1.3
132,2022-07-18,1,6.12,7.3,.37,22.06,9.26,13.35,15.44,30.88,1.13,4.77,3.59
132,2022-07-21,45.5,5.91,11.2,.47,22.03,21.77,25.59,16.96,50.06,.79,3.29,2.05
132,2022-07-23,12.5,6.43,12.6,.74,11.54,32.8,28.56,6.66,77.39,.79,2.39,2.25
132,2022-07-30,2.5,5.82,8.3,.26,13.34,11.35,26.17,6.79,43.8,1.87,2.8,3.19
132,2022-07-31,29.5,5.68,1.9,.16,3.22,1.94,3.21,1.39,4.55,.18,.99,.8
132,2022-08-01,9.5,5.55,7.9,.21,30.21,7.23,12.14,23.92,22.9,.54,4.2,2.35
132,2022-08-08,16,5.51,22.6,1.21,85.3,49.71,31.98,71.81,56.88,1.89,18.19,15.12
132,2022-08-09,58,5.22,5.1,.21,12.61,6.77,7.02,9,5.99,.26,2.39,1.4
132,2022-08-10,75.5,5.41,9.6,.32,43.49,9.5,14.51,34.84,12.92,.79,7.65,2.84
132,2022-08-11,13.5,4.96,15.6,.26,46.82,17.39,30,37.06,31.65,1.23,8.89,3.54
132,2022-08-13,41.5,5.24,13.4,.37,33.28,26.69,23.26,25.53,35.59,.97,6.5,3.69
132,2022-08-14,7,5.18,21.4,.89,34.13,60.29,43.16,29.1,85.65,1.66,8.72,10.23
132,2022-08-15,15,5.33,24.3,.32,119.85,27.05,28.81,101.22,31.71,2.4,21.07,10.23
132,2022-08-19,1,4.56,75.2,4.21,174.18,237.51,107.51,168.9,221.53,7.01,55.3,40.67
132,2022-08-22,17,4.85,21.9,.74,34.89,45.59,32.73,27.75,62.09,1.23,8.23,10.98
132,2022-08-23,3.5,4.91,17.9,.37,35.48,31.27,37.41,28.19,42.24,1.41,10.62,7.04
132,2022-08-29,42.5,4.88,12.2,.42,21.52,20.37,24.23,15.49,25.06,1.1,3.54,2.69
132,2022-08-30,27.5,4.94,7.7,.21,7.45,8.35,17.47,4.39,12.36,.43,1.48,.9
