지점,일시,합계 강수량(mm),산성도(pH),전기전도도(μS/cm),불산이온(F-)(μeq/L),염소이온(Cl-)(μeq/L),질산이온(NO3-)(μeq/L),황산이온(SO4-)(μeq/L),나트륨이온(Na+)(μeq/L),암모니아이온(NH4+)(μeq/L),칼륨이온(K+)(μeq/L),마그네슘이온(Mg2+)(μeq/L),칼슘이온(Ca2+)(μeq/L)
132,2023-07-17,6.5,6.32,6.9,.4,21.5,5.8,7.2,16.7,15.4,.9,5.3,7.7
132,2023-07-18,14,6.25,2.2,.3,2.5,.5,1,2.1,8.1,.1,.9,.9
132,2023-07-22,96,5.73,3.8,.3,10,3.7,4.5,7.9,6.8,.4,2.1,.9
132,2023-07-23,42,5.67,3.7,.3,9.1,3.7,3.6,7.4,4.3,.3,2.1,1.7
132,2023-08-09,3,6.22,6,.5,5,7.6,8.5,3.5,33.8,1.4,1.4,.7
132,2023-08-10,38.5,5.5,7.4,.3,30.6,4.5,8.8,25.9,7.2,.8,6.2,2.7
132,2023-08-11,2,5.81,34.3,.6,148.3,63.9,34,125.5,69.8,4.2,31.1,19.9
132,2023-08-22,4,5.45,9.4,.5,21.9,18.6,13.8,17.6,32.5,1.5,5.3,3.7
132,2023-08-23,77.5,5.43,3.9,.3,6.1,5.3,5.7,3.6,9.8,.3,1.6,.8
132,2023-08-27,12.5,5.79,7.6,.5,3.5,16.5,16.4,1.8,45.5,.8,1.4,1.3
132,2023-08-28,5.5,5.19,10.8,.5,25.8,17.5,17.9,18.8,26.7,.6,4.6,3.9
132,2023-08-29,27.5,5.41,6.2,.3,22.5,3.7,6.2,18.5,3.4,.4,4.4,1.4
132,2023-08-30,7.5,4.92,15.7,.6,33.2,20.4,17.1,27.7,8.1,.9,8.8,3.3
132,2023-09-13,29,5.26,6.5,.3,3.5,5.9,12.4,2.2,9.6,.3,1.3,.9
132,2023-09-14,8,5.54,5.5,.9,3.7,11.9,8.1,2.4,20.3,.4,1.1,.6
132,2023-09-15,4,6.14,6.6,1.1,4.7,11.4,11,3,41.8,.8,.6,0
132,2023-09-16,6,5.82,4.2,.4,4.5,9.2,3.7,3.1,14.2,.4,.9,2.3
132,2023-09-20,71.5,5.81,4.7,.3,4.5,9,7.2,3.4,18,.4,1.1,1.6
132,2023-09-25,28.5,5.22,8.6,.5,11.1,12.6,12.3,8.6,14.4,.5,2.6,1.7
132,2023-09-26,2.5,4.78,22.1,.4,57.5,35.8,18.2,48.9,18.7,1.3,11.2,5.5
132,2023-09-29,2,5.35,15.9,.5,27.2,47.1,23.8,23.3,45.8,1.6,9.6,13.8
132,2023-10-14,2,5.27,31.3,.6,114.5,58.1,40.8,97.1,70.1,3.6,21.2,15.1
132,2023-10-19,7.5,5.02,26.5,1.1,45.3,68.5,38.3,36.8,86.8,2.7,10,9.8
132,2023-11-04,12,5.12,16.2,.7,33.3,29.3,30.2,28.9,32.7,1.4,9,12.1
132,2023-11-05,55.5,5.37,13.2,.1,70.5,6.1,10.7,60.1,4.8,1.3,13.1,3.3
132,2023-11-06,1.5,6.3,394.1,3,2746.1,80.2,347.9,2310.3,54.2,50.4,481.1,176.3
132,2023-11-16,24.5,5.88,122.9,2.8,696.7,157.6,170.3,564.6,155.9,15.7,141.3,58
132,2023-11-17,5.5,6.22,230.3,3.5,1612.5,120,257.1,1273.6,75.4,27.3,278.7,125.4
132,2023-11-26,2,5.86,106.8,4.1,705.9,155.9,149.5,570.4,101.3,17.6,138.7,83.2
132,2023-11-27,3.5,5.97,125.9,4.6,721.2,174.1,157.9,582.3,127,17.3,146.1,90.5
132,2023-12-10,4.5,5.53,43.4,2.8,145.5,104.3,68.1,124,142,4.9,33.1,37.7
132,2023-12-11,22.5,6.29,5.6,.3,11.1,7.5,8,9.7,24,.4,3.4,3
132,2023-12-14,40,6.24,7.7,.4,26.9,12.8,9.2,21.7,17.2,.6,5.5,4.6
132,2023-12-15,9,5.38,17.9,.4,88.4,16.7,24.7,72.3,11.5,1.9,17.1,12.6
132,2023-12-16,3,5.08,56.2,.5,364.6,32.2,54.3,287.2,12.4,6.9,65.7,23.3
132,2023-12-19,3,4.99,84,1.2,471.7,88.9,113.3,375.6,66.2,9.7,87.1,56.4
132,2023-12-20,3,4.79,53.9,.6,289.5,49.6,56.9,226.9,17.5,6.3,57,28.4
132,2023-12-21,1,4.64,61,.7,352.8,40.3,54,277,9.9,6.1,63.3,23.8
132,2023-12-24,2,4.74,47.6,.9,207.6,68.5,56,158.9,48.3,4.5,40.6,27.7
132,2023-12-30,4,5.04,49.4,2.3,181.5,104.1,82.5,145.1,107,6.2,39,38.2
