지점,일시,합계 강수량(mm),산성도(pH),전기전도도(μS/cm),불산이온(F-)(μeq/L),염소이온(Cl-)(μeq/L),질산이온(NO3-)(μeq/L),황산이온(SO4-)(μeq/L),나트륨이온(Na+)(μeq/L),암모니아이온(NH4+)(μeq/L),칼륨이온(K+)(μeq/L),마그네슘이온(Mg2+)(μeq/L),칼슘이온(Ca2+)(μeq/L)
132,2023-01-06,3,6.35,139.3,4.1,499.9,312.1,204.9,390.7,316.5,15.4,113.8,140.1
132,2023-01-12,14.5,6.08,10.2,.7,27.9,14.2,13.9,22.5,38.3,1.2,6.9,8.3
132,2023-03-11,1,5.99,131.6,4.8,264,429.2,327,227.3,378.5,20.8,102.4,209.4
132,2023-03-12,2.5,6.41,67.7,3.8,148.3,155.2,157.4,117.5,245.5,6.6,36,96.1
132,2023-04-04,15.5,5.84,11.9,1.1,22.3,18.7,29,12.9,34.9,.8,3.7,8.5
132,2023-04-05,7.5,5.74,14.7,.6,40.5,29.9,24.1,30,38.7,1.1,10,19.2
132,2023-04-06,1.5,5.71,30.3,.8,92.5,63.6,51.3,61.1,63.5,3.1,25.7,49.5
132,2023-04-15,1.5,6.45,35.7,1.7,54.9,76.2,80.7,45.9,132.1,2.8,20.7,70.1
132,2023-04-28,3.5,5.51,45.7,1.5,89.8,108.6,123.9,69,164.9,5.4,25.8,61.3
132,2023-04-29,1.5,5.74,41.7,1.6,39.9,134.6,105.8,26.7,211.7,3.6,17.4,54.4
132,2023-05-04,1,5.47,14.6,1.4,20.2,33.6,35.6,13.9,49.2,5.6,6.6,13.5
132,2023-05-05,38.5,5.26,5,.3,4.4,9.6,6.5,3,5.9,.5,2,4.1
132,2023-05-06,9.5,5.56,3.6,.3,3.9,7.6,3.1,3,11.4,.4,1,1.5
132,2023-05-07,1.5,6.11,8.2,.3,10.8,17.7,10.3,7.6,41.8,2.5,2.5,4.4
132,2023-05-17,9,5.97,16.1,.7,11.6,32.9,46,6.4,95.5,3.7,3.8,10.3
132,2023-05-26,3,6.3,31.3,1.9,66.6,53,73.1,53.3,147,5.4,9.4,17.7
132,2023-05-27,16,5.73,10.4,.3,28.3,13.3,22.4,21.4,31.4,1.3,5.8,8.2
132,2023-05-28,72.5,5.43,3.3,.3,5.4,3.2,4,3.8,2.6,.3,1.4,1.3
132,2023-06-20,22.5,6.16,10.5,.5,16.4,16.7,16.1,12.9,49,2.4,2.5,3.5
132,2023-06-26,5.5,6.21,22.7,.3,55.3,36,29.8,43.1,98.9,9.3,6.7,9.3
132,2023-06-29,30,5.7,6.1,.3,11,11,8.7,8.4,21.8,.9,2.8,3.2
132,2023-07-03,3,6.24,17.7,.5,16.1,37.6,29.9,12.1,67.6,3.5,5,27.4
132,2023-07-04,73.5,5.89,6.8,1.8,15.9,10,11.5,11.7,27.8,1.8,2.1,2.3
132,2023-07-07,3,6.55,21.8,1.4,31.9,43.1,25.8,25.3,121.6,4.3,2.7,2.5
132,2023-07-10,5.5,6.59,27.2,1.2,51.4,62.3,39.7,38.1,140.4,4.7,9.6,16.7
132,2023-07-11,5.5,5.97,6,.4,16.1,8.3,8.4,12.7,16.4,.6,3.9,3.8
132,2023-07-12,1.5,6.49,24.3,1.2,51.6,65.5,30.1,37.7,118,4.1,10.5,12.9
132,2023-07-13,90,6.05,14.8,.5,68.5,13.3,17.5,53.2,31.3,1.6,10.9,4
132,2023-07-14,73.5,6.37,21,.4,63.5,33.5,31.5,48.9,84.7,2.6,10.1,3
132,2023-07-15,6,6.88,42.2,1.4,72.4,79.6,60.6,53.4,187.7,5.4,19.3,29.3
132,2023-07-16,2,6.9,21.1,.7,50,35.2,20.6,38.8,62.9,2.9,15.5,34.5
